PayrollURN,TrainingDate,Course,CourseeCode
10,2010-11-22 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
10,2012-07-23 00:00:00.000,SYS - Manager Policy Training  [Shield Yourself Tr,H&S2
10,2012-11-25 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
10,2012-12-21 00:00:00.000,SYS - Food Safety Level 1 Learning Link [Shield Yo,FSL1
10,2013-07-24 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
10,2013-07-24 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
10,2014-02-24 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
10,2014-02-24 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
10,2014-07-10 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
10,2014-09-01 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
10,2014-09-01 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
10,2015-01-21 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
10,2015-01-21 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
10,2015-07-27 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
10,2015-10-07 00:00:00.000,SYS - Fire Marshall Training  [Shield Yourself Tra,FMT1
1001,2013-01-01 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
1001,2014-02-20 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1001,2014-02-20 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1001,2014-07-22 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1001,2014-07-22 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1001,2015-02-19 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1001,2015-02-19 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1001,2015-04-24 00:00:00.000,SYS - Safe Use of Chemicals - Control of Substance,COSHH
1001,2015-08-12 00:00:00.000,SYS - Fire Awareness Training [6 Months]  [Shield ,FT6
1001,2015-08-12 00:00:00.000,SYS - Health & Safety Awareness [Shield Yourself T,H&S
1007,2012-07-09 00:00:00.000,SYS - Induction  - Fire and H&S [Shield Yourself T,SYS3
